AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
3*S818 + 4*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.1521   Zero Cn angle of attack (deg)
   5.8497   Cn slope for zero lift (dimensionless)
   1.5470   Cn extrapolated to value at positive stall angle of attack
  -0.8308   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0079   Minimum CD value
 170.00   -0.916   0.0149
 180.00    0.000   0.0100
EOT
   5.0      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -4.3096   Zero Cn angle of attack (deg)
   5.6589   Cn slope for zero lift (dimensionless)
   1.7096   Cn extrapolated to value at positive stall angle of attack
  -0.8188   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0071   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.922   0.0145
-160.00    0.841   0.1660
-150.00    0.802   0.4117
-140.00    0.780   0.7136
-130.00    0.717   1.0357
-120.00    0.600   1.3397
-110.00    0.430   1.5895
-100.00    0.223   1.7559
 -90.00    0.000   1.8194
 -80.00   -0.223   1.7559
 -70.00   -0.430   1.5895
 -60.00   -0.600   1.3397
 -50.00   -0.717   1.0357
 -40.00   -0.780   0.7136
 -30.00   -0.802   0.4117
 -20.00   -0.841   0.1660
 -10.00   -0.828   0.0183
  -6.00   -0.237   0.0102
  -5.00   -0.112   0.0093
  -4.00    0.013   0.0084
  -3.00    0.104   0.0071
  -2.00    0.213   0.0071
  -1.00    0.322   0.0071
   0.00    0.431   0.0071
   1.00    0.540   0.0072
   2.00    0.649   0.0073
   3.00    0.755   0.0075
   4.00    0.862   0.0077
   5.00    0.967   0.0079
   6.00    1.073   0.0081
   7.00    1.146   0.0120
   8.00    1.242   0.0131
   9.00    1.322   0.0167
  10.00    1.403   0.0189
  11.00    1.425   0.0291
  12.00    1.444   0.0392
  13.00    1.450   0.0495
  20.00    1.202   0.1660
  30.00    1.146   0.4117
  40.00    1.114   0.7136
  50.00    1.025   1.0357
  60.00    0.857   1.3397
  70.00    0.614   1.5895
  80.00    0.318   1.7559
  90.00    0.000   1.8194
 100.00   -0.223   1.7559
 110.00   -0.430   1.5895
 120.00   -0.600   1.3397
 130.00   -0.717   1.0357
 140.00   -0.780   0.7136
 150.00   -0.802   0.4117
 160.00   -0.841   0.1660
 170.00   -0.922   0.0145
 180.00    0.000   0.0100
EOT
