AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
4*S818 + 3*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.4221   Zero Cn angle of attack (deg)
   5.8935   Cn slope for zero lift (dimensionless)
   1.5863   Cn extrapolated to value at positive stall angle of attack
  -0.8490   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0083   Minimum CD value
  -2.00    0.246   0.0075
  -1.00    0.354   0.0075
   0.00    0.463   0.0076
   1.00    0.571   0.0077
   2.00    0.679   0.0079
   3.00    0.785   0.0080
   4.00    0.891   0.0082
   5.00    0.997   0.0085
   6.00    1.103   0.0087
   7.00    1.183   0.0118
   8.00    1.280   0.0129
   9.00    1.355   0.0173
  10.00    1.436   0.0195
  11.00    1.474   0.0277
  12.00    1.509   0.0358
  13.00    1.525   0.0441
  20.00    1.253   0.1618
  30.00    1.174   0.4068
  40.00    1.129   0.7079
  50.00    1.032   1.0291
  60.00    0.860   1.3325
  70.00    0.615   1.5820
  80.00    0.318   1.7483
  90.00    0.000   1.8123
 100.00   -0.223   1.7483
 110.00   -0.430   1.5820
 120.00   -0.602   1.3325
 130.00   -0.723   1.0291
 140.00   -0.791   0.7079
 150.00   -0.822   0.4068
 160.00   -0.877   0.1618
 170.00   -0.925   0.0136
 180.00    0.000   0.0100
EOT
   5.0      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -4.5940   Zero Cn angle of attack (deg)
   5.7062   Cn slope for zero lift (dimensionless)
   1.7522   Cn extrapolated to value at positive stall angle of attack
  -0.7959   Cn at stall value for negative angle of attack
  -3.00     Angle of attack for minimum CD (deg)
   0.0074   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.930   0.0134
-160.00    0.879   0.1616
-150.00    0.823   0.4066
-140.00    0.791   0.7077
-130.00    0.723   1.0290
-120.00    0.602   1.3324
-110.00    0.430   1.5819
-100.00    0.223   1.7483
 -90.00    0.000   1.8123
 -80.00   -0.223   1.7483
 -70.00   -0.430   1.5819
 -60.00   -0.602   1.3324
 -50.00   -0.723   1.0290
 -40.00   -0.791   0.7077
 -30.00   -0.823   0.4066
 -20.00   -0.879   0.1616
 -10.00   -0.805   0.0185
  -6.00   -0.200   0.0097
  -5.00   -0.079   0.0091
  -4.00    0.042   0.0084
  -3.00    0.137   0.0074
  -2.00    0.246   0.0074
  -1.00    0.354   0.0075
   0.00    0.463   0.0075
   1.00    0.571   0.0076
   2.00    0.679   0.0078
   3.00    0.786   0.0079
   4.00    0.892   0.0081
   5.00    0.998   0.0084
   6.00    1.103   0.0086
   7.00    1.185   0.0117
   8.00    1.283   0.0126
   9.00    1.361   0.0170
  10.00    1.442   0.0192
  11.00    1.480   0.0275
  12.00    1.514   0.0356
  13.00    1.530   0.0439
  20.00    1.256   0.1616
  30.00    1.176   0.4066
  40.00    1.130   0.7077
  50.00    1.033   1.0290
  60.00    0.860   1.3324
  70.00    0.615   1.5819
  80.00    0.318   1.7483
  90.00    0.000   1.8123
 100.00   -0.223   1.7483
 110.00   -0.430   1.5819
 120.00   -0.602   1.3324
 130.00   -0.723   1.0290
 140.00   -0.791   0.7077
 150.00   -0.823   0.4066
 160.00   -0.879   0.1616
 170.00   -0.930   0.0134
 180.00    0.000   0.0100
EOT
