AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
1*Circle+2*S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   0.5      Reynolds numbers in millions
   0.0      Control setting
  11.00     Stall angle (deg)
  -4.1473   Zero Cn angle of attack (deg)
   1.6815   Cn slope for zero lift (dimensionless)
   0.4445   Cn extrapolated to value at positive stall angle of attack
  -0.2604   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.3454   Minimum CD value
  10.00    0.342   0.3719
  11.00    0.357   0.3725
  12.00    0.272   0.4049
  13.00    0.272   0.4079
  20.00    0.264   0.4317
  30.00    0.256   0.4585
  40.00    0.247   0.5243
  50.00    0.226   0.5945
  60.00    0.188   0.6607
  70.00    0.135   0.7151
  80.00    0.070   0.7511
  90.00    0.000   0.7646
 100.00   -0.049   0.7511
 110.00   -0.094   0.7151
 120.00   -0.132   0.6607
 130.00   -0.158   0.5945
 140.00   -0.173   0.5243
 150.00   -0.179   0.4585
 160.00   -0.191   0.4049
 170.00   -0.227   0.3700
 180.00    0.000   0.3578
EOT
   2.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.0704   Zero Cn angle of attack (deg)
   4.1367   Cn slope for zero lift (dimensionless)
   1.2325   Cn extrapolated to value at positive stall angle of attack
  -0.5636   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.1826   Minimum CD value
-180.00    0.000   0.1833
-170.00    0.655   0.1790
-160.00    0.614   0.2842
-150.00    0.563   0.4455
-140.00    0.534   0.6437
-130.00    0.484   0.8553
-120.00    0.401   1.0550
-110.00    0.285   1.2192
-100.00    0.147   1.3286
 -90.00    0.000   1.3706
 -80.00   -0.147   1.3286
 -70.00   -0.285   1.2192
 -60.00   -0.401   1.0550
 -50.00   -0.484   0.8553
 -40.00   -0.534   0.6437
 -30.00   -0.563   0.4455
 -20.00   -0.614   0.2842
 -10.00   -0.539   0.1907
  -6.00   -0.062   0.1826
  -5.00    0.010   0.1827
  -4.00    0.082   0.1827
  -3.00    0.154   0.1827
  -2.00    0.226   0.1829
  -1.00    0.297   0.1829
   0.00    0.369   0.1830
   1.00    0.441   0.1831
   2.00    0.511   0.1833
   3.00    0.583   0.1834
   4.00    0.653   0.1836
   5.00    0.723   0.1839
   6.00    0.793   0.1841
   7.00    0.863   0.1845
   8.00    0.932   0.1849
   9.00    1.000   0.1853
  10.00    1.031   0.1915
  11.00    1.085   0.1933
  12.00    1.123   0.1948
  13.00    1.093   0.2060
  20.00    0.878   0.2842
  30.00    0.804   0.4455
  40.00    0.763   0.6437
  50.00    0.691   0.8553
  60.00    0.572   1.0550
  70.00    0.408   1.2192
  80.00    0.210   1.3286
  90.00    0.000   1.3706
 100.00   -0.147   1.3286
 110.00   -0.285   1.2192
 120.00   -0.401   1.0550
 130.00   -0.484   0.8553
 140.00   -0.534   0.6437
 150.00   -0.563   0.4455
 160.00   -0.614   0.2842
 170.00   -0.655   0.1790
 180.00    0.000   0.1833
EOT
   3.0      Reynolds numbers in millions
   0.0      Control setting
  12.00     Stall angle (deg)
  -5.1112   Zero Cn angle of attack (deg)
   4.1253   Cn slope for zero lift (dimensionless)
   1.2320   Cn extrapolated to value at positive stall angle of attack
  -0.5716   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.1823   Minimum CD value
-180.00    0.000   0.1833
-170.00    0.666   0.1777
-160.00    0.622   0.2829
-150.00    0.567   0.4444
-140.00    0.536   0.6427
-130.00    0.485   0.8544
-120.00    0.401   1.0543
-110.00    0.286   1.2188
-100.00    0.147   1.3284
 -90.00    0.000   1.3706
 -80.00   -0.147   1.3284
 -70.00   -0.286   1.2188
 -60.00   -0.401   1.0543
 -50.00   -0.485   0.8544
 -40.00   -0.536   0.6427
 -30.00   -0.567   0.4444
 -20.00   -0.622   0.2829
 -10.00   -0.547   0.1898
  -6.00   -0.060   0.1823
  -5.00    0.012   0.1823
  -4.00    0.084   0.1823
  -3.00    0.156   0.1824
  -2.00    0.228   0.1824
  -1.00    0.299   0.1825
   0.00    0.371   0.1825
   1.00    0.443   0.1827
   2.00    0.514   0.1828
   3.00    0.585   0.1829
   4.00    0.655   0.1831
   5.00    0.726   0.1834
   6.00    0.796   0.1837
   7.00    0.866   0.1839
   8.00    0.935   0.1843
   9.00    0.983   0.1885
  10.00    1.039   0.1905
  11.00    1.095   0.1921
  12.00    1.142   0.1935
  13.00    1.110   0.2047
  20.00    0.888   0.2829
  30.00    0.810   0.4444
  40.00    0.766   0.6427
  50.00    0.693   0.8544
  60.00    0.573   1.0543
  70.00    0.408   1.2188
  80.00    0.210   1.3284
  90.00    0.000   1.3706
 100.00   -0.147   1.3284
 110.00   -0.286   1.2188
 120.00   -0.401   1.0543
 130.00   -0.485   0.8544
 140.00   -0.536   0.6427
 150.00   -0.567   0.4444
 160.00   -0.622   0.2829
 170.00   -0.666   0.1777
 180.00    0.000   0.1833
EOT
   4.0      Reynolds numbers in millions
   0.0      Control setting
  13.00     Stall angle (deg)
  -5.1856   Zero Cn angle of attack (deg)
   4.0747   Cn slope for zero lift (dimensionless)
   1.2933   Cn extrapolated to value at positive stall angle of attack
  -0.5154   Cn at stall value for negative angle of attack
  -6.00     Angle of attack for minimum CD (deg)
   0.1821   Minimum CD value
-180.00    0.000   0.1833
-170.00    0.635   0.1833
-160.00    0.662   0.2754
-150.00    0.590   0.4374
-140.00    0.551   0.6366
-130.00    0.494   0.8493
-120.00    0.406   1.0503
-110.00    0.288   1.2160
-100.00    0.148   1.3270
 -90.00    0.000   1.3706
 -80.00   -0.148   1.3270
 -70.00   -0.288   1.2160
 -60.00   -0.406   1.0503
 -50.00   -0.494   0.8493
 -40.00   -0.551   0.6366
 -30.00   -0.590   0.4374
 -20.00   -0.662   0.2754
 -10.00   -0.490   0.1893
  -6.00   -0.060   0.1821
  -5.00    0.013   0.1822
  -4.00    0.085   0.1822
  -3.00    0.157   0.1823
  -2.00    0.229   0.1823
  -1.00    0.300   0.1823
   0.00    0.372   0.1824
   1.00    0.443   0.1825
   2.00    0.515   0.1827
   3.00    0.586   0.1828
   4.00    0.657   0.1830
   5.00    0.727   0.1833
   6.00    0.797   0.1835
   7.00    0.867   0.1837
   8.00    0.936   0.1841
   9.00    0.983   0.1884
  10.00    1.041   0.1901
  11.00    1.097   0.1917
  12.00    1.149   0.1931
  13.00    1.180   0.1947
  20.00    0.945   0.2754
  30.00    0.843   0.4374
  40.00    0.787   0.6366
  50.00    0.705   0.8493
  60.00    0.580   1.0503
  70.00    0.411   1.2160
  80.00    0.211   1.3270
  90.00    0.000   1.3706
 100.00   -0.148   1.3270
 110.00   -0.288   1.2160
 120.00   -0.406   1.0503
 130.00   -0.494   0.8493
 140.00   -0.551   0.6366
 150.00   -0.590   0.4374
 160.00   -0.662   0.2754
 170.00   -0.635   0.1833
 180.00    0.000   0.1833
EOT
