AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
2*S816 + 1*S817 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   4        Number of airfoil tables in this file
   2.0      Reynolds numbers in millions
   0.0      Control setting
   7.00     Stall angle (deg)
  -3.2865   Zero Cn angle of attack (deg)
   6.1151   Cn slope for zero lift (dimensionless)
   1.0979   Cn extrapolated to value at positive stall angle of attack
  -0.6652   Cn at stall value for negative angle of attack
  -1.00     Angle of attack for minimum CD (deg)
   0.0056   Minimum CD value
   0.00    0.355   0.0051
   1.00    0.465   0.0051
   2.00    0.574   0.0053
   3.00    0.679   0.0054
   4.00    0.785   0.0055
   5.00    0.890   0.0057
   6.00    0.958   0.0101
   7.00    1.037   0.0133
   8.00    1.127   0.0147
   9.00    1.212   0.0162
  10.00    1.194   0.0242
  20.00    1.013   0.1910
  30.00    1.058   0.4469
  40.00    1.080   0.7610
  50.00    1.022   1.0959
  60.00    0.870   1.4115
  70.00    0.631   1.6702
  80.00    0.330   1.8413
  90.00    0.000   1.9046
 100.00   -0.231   1.8413
 110.00   -0.442   1.6702
 120.00   -0.609   1.4115
 130.00   -0.715   1.0959
 140.00   -0.756   0.7610
 150.00   -0.740   0.4469
 160.00   -0.709   0.1910
 170.00   -0.835   0.0242
 180.00    0.000   0.0100
EOT
   5.0      Reynolds numbers in millions
   0.0      Control setting
   9.00     Stall angle (deg)
  -3.4255   Zero Cn angle of attack (deg)
   5.8933   Cn slope for zero lift (dimensionless)
   1.2781   Cn extrapolated to value at positive stall angle of attack
  -0.8302   Cn at stall value for negative angle of attack
   0.00     Angle of attack for minimum CD (deg)
   0.0050   Minimum CD value
-180.00    0.000   0.0100
-170.00    0.839   0.0240
-160.00    0.711   0.1909
-150.00    0.741   0.4467
-140.00    0.756   0.7609
-130.00    0.715   1.0958
-120.00    0.609   1.4114
-110.00    0.442   1.6701
-100.00    0.231   1.8412
 -90.00    0.000   1.9046
 -80.00   -0.231   1.8412
 -70.00   -0.442   1.6701
 -60.00   -0.609   1.4114
 -50.00   -0.715   1.0958
 -40.00   -0.756   0.7609
 -30.00   -0.741   0.4467
 -20.00   -0.711   0.1909
 -10.00   -0.839   0.0240
  -4.00   -0.074   0.0080
  -3.00    0.025   0.0069
  -2.00    0.135   0.0067
  -1.00    0.245   0.0050
   0.00    0.355   0.0050
   1.00    0.465   0.0050
   2.00    0.575   0.0052
   3.00    0.680   0.0053
   4.00    0.786   0.0054
   5.00    0.891   0.0056
   6.00    0.959   0.0100
   7.00    1.038   0.0132
   8.00    1.129   0.0145
   9.00    1.216   0.0160
  10.00    1.198   0.0240
  20.00    1.015   0.1909
  30.00    1.059   0.4467
  40.00    1.080   0.7609
  50.00    1.022   1.0958
  60.00    0.870   1.4114
  70.00    0.632   1.6701
  80.00    0.330   1.8412
  90.00    0.000   1.9046
 100.00   -0.231   1.8412
 110.00   -0.442   1.6701
 120.00   -0.609   1.4114
 130.00   -0.715   1.0958
 140.00   -0.756   0.7609
 150.00   -0.741   0.4467
 160.00   -0.711   0.1909
 170.00   -0.839   0.0240
 180.00    0.000   0.0100
EOT
